OR4F5	ENSG00000186092.7	ENST00000641515.2
FAM181B	ENSG00000182103.5	ENST00000329203.5
PRCP	ENSG00000137509.12	ENST00000680566.1
DDIAS	ENSG00000165490.13	ENST00000525361.5
RAB30	ENSG00000137502.10	ENST00000527633.6
PCF11	ENSG00000165494.12	ENST00000298281.8
ANKRD42	ENSG00000137494.14	ENST00000260047.10
CCDC90B	ENSG00000137500.10	ENST00000529689.6
DLG2	ENSG00000150672.19	ENST00000706233.1
TMEM126B	ENSG00000171204.13	ENST00000393375.5
TMEM126A	ENSG00000171202.7	ENST00000304511.7
CREBZF	ENSG00000137504.16	ENST00000850607.1
CCDC89	ENSG00000179071.5	ENST00000316398.5
SYTL2	ENSG00000137501.18	ENST00000389960.8
CCDC83	ENSG00000150676.13	ENST00000280245.8
PICALM	ENSG00000073921.18	ENST00000393346.8
EED	ENSG00000074266.24	ENST00000707108.1
HIKESHI	ENSG00000149196.17	ENST00000278483.8
CCDC81	ENSG00000149201.10	ENST00000354755.5
ME3	ENSG00000151376.19	ENST00000543262.6
PRSS23	ENSG00000150687.12	ENST00000533902.2
FZD4	ENSG00000174804.4	ENST00000531380.2
TMEM135	ENSG00000166575.17	ENST00000305494.6
RAB38	ENSG00000123892.12	ENST00000243662.11
CTSC	ENSG00000109861.17	ENST00000679224.1
GRM5	ENSG00000168959.15	ENST00000305447.5
TYR	ENSG00000077498.9	ENST00000263321.6
NOX4	ENSG00000086991.13	ENST00000527956.5
TRIM77	ENSG00000214414.9	ENST00000398290.7
TRIM49	ENSG00000168930.13	ENST00000329758.5
TRIM64B	ENSG00000189253.8	ENST00000329862.7
TRIM49D1	ENSG00000223417.9	ENST00000420869.3
TRIM49D2	ENSG00000233802.8	ENST00000623787.3
TRIM64	ENSG00000204450.9	ENST00000533122.4
TRIM49C	ENSG00000204449.3	ENST00000448984.1
UBTFL1	ENSG00000255009.4	ENST00000530464.2
NAALAD2	ENSG00000077616.11	ENST00000534061.6
CHORDC1	ENSG00000110172.12	ENST00000320585.11
FAT3	ENSG00000165323.16	ENST00000525166.6
MTNR1B	ENSG00000134640.3	ENST00000257068.3
SLC36A4	ENSG00000180773.15	ENST00000326402.9
DEUP1	ENSG00000165325.15	ENST00000298050.9
SMCO4	ENSG00000166002.7	ENST00000298966.7
CEP295	ENSG00000166004.15	ENST00000325212.11
TAF1D	ENSG00000166012.17	ENST00000448108.7
C11orf54	ENSG00000182919.15	ENST00000528288.5
ENSG00000284057	ENSG00000284057.1	ENST00000638767.1
MED17	ENSG00000042429.12	ENST00000251871.9
VSTM5	ENSG00000214376.6	ENST00000409977.2
HEPHL1	ENSG00000181333.12	ENST00000315765.10
PANX1	ENSG00000110218.9	ENST00000227638.8
IZUMO1R	ENSG00000183560.10	ENST00000687084.1
GPR83	ENSG00000123901.9	ENST00000243673.7
MRE11	ENSG00000020922.13	ENST00000323929.8
ANKRD49	ENSG00000168876.9	ENST00000544612.6
C11orf97	ENSG00000257057.3	ENST00000542198.3
FUT4	ENSG00000196371.4	ENST00000358752.4
PIWIL4	ENSG00000134627.12	ENST00000299001.11
AMOTL1	ENSG00000166025.18	ENST00000317829.12
CWC15	ENSG00000150316.12	ENST00000279839.8
KDM4D	ENSG00000186280.7	ENST00000335080.6
KDM4E	ENSG00000235268.2	ENST00000450979.2
KDM4F	ENSG00000255855.4	ENST00000545950.3
SRSF8	ENSG00000263465.5	ENST00000587424.3
ENDOD1	ENSG00000149218.5	ENST00000278505.5
SESN3	ENSG00000149212.12	ENST00000536441.7
FAM76B	ENSG00000077458.13	ENST00000358780.10
CEP57	ENSG00000166037.11	ENST00000325486.9
MTMR2	ENSG00000087053.20	ENST00000676272.1
MAML2	ENSG00000184384.15	ENST00000524717.6
CCDC82	ENSG00000149231.16	ENST00000679696.1
JRKL	ENSG00000183340.7	ENST00000332349.5
CNTN5	ENSG00000149972.12	ENST00000524871.6
ARHGAP42	ENSG00000165895.19	ENST00000298815.13
PGR	ENSG00000082175.16	ENST00000325455.10
TRPC6	ENSG00000137672.13	ENST00000344327.8
ANGPTL5	ENSG00000187151.7	ENST00000334289.7
CEP126	ENSG00000110318.15	ENST00000263468.13
CFAP300	ENSG00000137691.13	ENST00000434758.7
YAP1	ENSG00000137693.14	ENST00000282441.10
BIRC3	ENSG00000023445.17	ENST00000263464.9
BIRC2	ENSG00000110330.10	ENST00000227758.7
TMEM123	ENSG00000152558.15	ENST00000361236.7
MMP7	ENSG00000137673.9	ENST00000260227.5
MMP20	ENSG00000137674.4	ENST00000260228.3
MMP27	ENSG00000137675.5	ENST00000260229.5
MMP8	ENSG00000118113.12	ENST00000236826.8
MMP10	ENSG00000166670.10	ENST00000279441.9
MMP1	ENSG00000196611.6	ENST00000315274.7
MMP3	ENSG00000149968.12	ENST00000299855.10
MMP12	ENSG00000262406.3	ENST00000571244.3
MMP13	ENSG00000137745.13	ENST00000260302.8
DCUN1D5	ENSG00000137692.12	ENST00000260247.10
DYNC2H1	ENSG00000187240.17	ENST00000375735.7
PDGFD	ENSG00000170962.13	ENST00000302251.9
DDI1	ENSG00000170967.5	ENST00000302259.5
CASP12	ENSG00000204403.11	ENST00000613512.4
CASP4	ENSG00000196954.14	ENST00000444739.7
CASP5	ENSG00000137757.11	ENST00000393141.6
CASP1	ENSG00000137752.25	ENST00000695717.1
CARD16	ENSG00000204397.11	ENST00000672037.2
CARD18	ENSG00000255501.3	ENST00000649856.1
GRIA4	ENSG00000152578.15	ENST00000525187.6
MSANTD4	ENSG00000170903.12	ENST00000301919.9
KBTBD3	ENSG00000182359.15	ENST00000526793.5
AASDHPPT	ENSG00000149313.11	ENST00000278618.9
GUCY1A2	ENSG00000152402.11	ENST00000526355.7
CWF19L2	ENSG00000152404.16	ENST00000282251.10
ALKBH8	ENSG00000137760.15	ENST00000428149.7
ELMOD1	ENSG00000110675.13	ENST00000265840.12
SLN	ENSG00000170290.4	ENST00000531293.1
SLC35F2	ENSG00000110660.15	ENST00000525071.5
RAB39A	ENSG00000179331.3	ENST00000320578.3
CUL5	ENSG00000166266.14	ENST00000393094.7
ACAT1	ENSG00000075239.15	ENST00000672284.1
NPAT	ENSG00000149308.18	ENST00000850623.1
ATM	ENSG00000149311.22	ENST00000601453.3
C11orf65	ENSG00000166323.13	ENST00000525729.5
POGLUT3	ENSG00000178202.14	ENST00000323468.10
EXPH5	ENSG00000110723.12	ENST00000265843.9
DDX10	ENSG00000178105.12	ENST00000686283.1
C11orf87	ENSG00000185742.7	ENST00000327419.7
ZC3H12C	ENSG00000149289.11	ENST00000278590.8
RDX	ENSG00000137710.17	ENST00000528498.5
FDX1	ENSG00000137714.3	ENST00000260270.3
ARHGAP20	ENSG00000137727.13	ENST00000533353.5
POU2AF2	ENSG00000150750.9	ENST00000280325.7
POU2AF3	ENSG00000214290.9	ENST00000610738.6
POU2AF1	ENSG00000110777.12	ENST00000393067.8
BTG4	ENSG00000137707.14	ENST00000356018.6
HOATZ	ENSG00000183644.14	ENST00000375618.9
LAYN	ENSG00000204381.12	ENST00000436913.6
SIK2	ENSG00000170145.5	ENST00000304987.4
PPP2R1B	ENSG00000137713.16	ENST00000311129.9
ALG9	ENSG00000086848.15	ENST00000616540.5
ENSG00000258529	ENSG00000258529.5	ENST00000622211.4
FDXACB1	ENSG00000255561.7	ENST00000260257.9
CFAP68	ENSG00000137720.8	ENST00000260276.8
CRYAB	ENSG00000109846.9	ENST00000527950.5
HSPB2	ENSG00000170276.6	ENST00000304298.4
HSPB2-C11orf52	ENSG00000254445.1	ENST00000527616.1
C11orf52	ENSG00000149300.10	ENST00000278601.6
DIXDC1	ENSG00000150764.14	ENST00000440460.7
DLAT	ENSG00000150768.18	ENST00000280346.11
PIH1D2	ENSG00000150773.12	ENST00000528775.6
NKAPD1	ENSG00000150776.18	ENST00000532163.5
TIMM8B	ENSG00000150779.12	ENST00000541231.1
SDHD	ENSG00000204370.14	ENST00000528021.6
ENSG00000255292	ENSG00000255292.9	ENST00000532699.1
IL18	ENSG00000150782.13	ENST00000280357.12
TEX12	ENSG00000150783.10	ENST00000280358.5
BCO2	ENSG00000197580.13	ENST00000531169.5
PTS	ENSG00000150787.8	ENST00000280362.8
PLET1	ENSG00000188771.5	ENST00000338832.4
NCAM1	ENSG00000149294.18	ENST00000316851.12
TTC12	ENSG00000149292.17	ENST00000393020.5
ANKK1	ENSG00000170209.5	ENST00000303941.4
DRD2	ENSG00000149295.14	ENST00000362072.8
TMPRSS5	ENSG00000166682.13	ENST00000545579.6
ZW10	ENSG00000086827.9	ENST00000200135.8
CLDN25	ENSG00000228607.3	ENST00000453129.3
USP28	ENSG00000048028.12	ENST00000696973.1
HTR3B	ENSG00000149305.8	ENST00000260191.8
HTR3A	ENSG00000166736.12	ENST00000355556.6
ZBTB16	ENSG00000109906.15	ENST00000335953.9
NNMT	ENSG00000166741.9	ENST00000535401.5
C11orf71	ENSG00000180425.11	ENST00000325636.8
RBM7	ENSG00000076053.12	ENST00000544582.1
ENSG00000255663	ENSG00000255663.1	ENST00000544347.1
REXO2	ENSG00000076043.11	ENST00000265881.10
NXPE1	ENSG00000095110.9	ENST00000534921.3
NXPE4	ENSG00000137634.10	ENST00000375478.4
NXPE2	ENSG00000204361.10	ENST00000389586.6
CADM1	ENSG00000182985.19	ENST00000331581.11
BUD13	ENSG00000137656.12	ENST00000375445.7
ZPR1	ENSG00000109917.11	ENST00000227322.8
APOA5	ENSG00000110243.12	ENST00000542499.5
APOA4	ENSG00000110244.7	ENST00000357780.5
APOC3	ENSG00000110245.12	ENST00000227667.8
APOA1	ENSG00000118137.10	ENST00000236850.5
SIK3	ENSG00000160584.17	ENST00000445177.6
PAFAH1B2	ENSG00000168092.14	ENST00000419197.6
SIDT2	ENSG00000149577.17	ENST00000324225.9
TAGLN	ENSG00000149591.17	ENST00000392951.9
PCSK7	ENSG00000160613.15	ENST00000320934.8
RNF214	ENSG00000167257.11	ENST00000300650.9
BACE1	ENSG00000186318.18	ENST00000313005.11
CEP164	ENSG00000110274.16	ENST00000278935.8
DSCAML1	ENSG00000177103.15	ENST00000321322.6
FXYD2	ENSG00000137731.14	ENST00000532119.5
FXYD6-FXYD2	ENSG00000255245.4	ENST00000532984.1
FXYD6	ENSG00000137726.17	ENST00000527717.5
TMPRSS13	ENSG00000137747.16	ENST00000524993.6
IL10RA	ENSG00000110324.12	ENST00000227752.8
SMIM35	ENSG00000255274.10	ENST00000636151.1
TMPRSS4	ENSG00000137648.20	ENST00000534111.5
SCN4B	ENSG00000177098.9	ENST00000324727.9
SCN2B	ENSG00000149575.9	ENST00000278947.6
JAML	ENSG00000160593.20	ENST00000356289.10
MPZL3	ENSG00000160588.10	ENST00000278949.9
MPZL2	ENSG00000149573.9	ENST00000278937.7
CD3E	ENSG00000198851.10	ENST00000361763.9
CD3D	ENSG00000167286.12	ENST00000392884.3
CD3G	ENSG00000160654.11	ENST00000532917.3
UBE4A	ENSG00000110344.10	ENST00000252108.8
ATP5MG	ENSG00000167283.9	ENST00000690793.1
ENSG00000285827	ENSG00000285827.1	ENST00000648261.1
KMT2A	ENSG00000118058.25	ENST00000710560.1
TTC36	ENSG00000172425.12	ENST00000302783.10
TMEM25	ENSG00000149582.16	ENST00000442938.6
IFT46	ENSG00000118096.10	ENST00000264020.6
ARCN1	ENSG00000095139.15	ENST00000264028.5
PHLDB1	ENSG00000019144.20	ENST00000361417.6
TREH	ENSG00000118094.12	ENST00000264029.9
DDX6	ENSG00000110367.14	ENST00000534980.7
CXCR5	ENSG00000160683.5	ENST00000292174.5
BCL9L	ENSG00000186174.13	ENST00000683865.1
UPK2	ENSG00000110375.3	ENST00000264031.3
FOXR1	ENSG00000176302.13	ENST00000317011.8
CENATAC	ENSG00000186166.9	ENST00000334418.6
RPS25	ENSG00000118181.11	ENST00000527673.2
TRAPPC4	ENSG00000196655.12	ENST00000533058.5
SLC37A4	ENSG00000137700.19	ENST00000330775.9
HYOU1	ENSG00000149428.21	ENST00000617285.5
VPS11	ENSG00000160695.16	ENST00000621676.5
HMBS	ENSG00000256269.11	ENST00000652429.1
H2AX	ENSG00000188486.4	ENST00000530167.2
DPAGT1	ENSG00000172269.20	ENST00000409993.6
C2CD2L	ENSG00000172375.14	ENST00000648610.2
HINFP	ENSG00000172273.13	ENST00000350777.7
ABCG4	ENSG00000172350.10	ENST00000619701.5
NLRX1	ENSG00000160703.17	ENST00000409109.6
NHERF4	ENSG00000172367.16	ENST00000531114.5
DRC12	ENSG00000248712.8	ENST00000415318.2
CBL	ENSG00000110395.8	ENST00000634586.1
MCAM	ENSG00000076706.17	ENST00000264036.6
RNF26	ENSG00000173456.5	ENST00000311413.5
C1QTNF5	ENSG00000223953.6	ENST00000528368.3
MFRP	ENSG00000235718.9	ENST00000619721.6
USP2	ENSG00000036672.16	ENST00000455332.6
THY1	ENSG00000154096.14	ENST00000284240.10
NECTIN1	ENSG00000110400.11	ENST00000531468.2
TRIM29	ENSG00000137699.17	ENST00000341846.10
OAF	ENSG00000184232.9	ENST00000328965.9
POU2F3	ENSG00000137709.10	ENST00000260264.8
TLCD5	ENSG00000181264.9	ENST00000375095.3
ARHGEF12	ENSG00000196914.9	ENST00000397843.7
GRIK4	ENSG00000149403.13	ENST00000527524.8
TBCEL	ENSG00000154114.13	ENST00000683345.1
TBCEL-TECTA	ENSG00000285509.1	ENST00000645041.1
TECTA	ENSG00000109927.11	ENST00000392793.6
SC5D	ENSG00000109929.10	ENST00000264027.9
SORL1	ENSG00000137642.13	ENST00000260197.12
BLID	ENSG00000259571.2	ENST00000560104.2
UBASH3B	ENSG00000154127.10	ENST00000284273.6
CRTAM	ENSG00000109943.9	ENST00000227348.9
JHY	ENSG00000109944.11	ENST00000227349.7
BSX	ENSG00000188909.5	ENST00000343035.3
HSPA8	ENSG00000109971.14	ENST00000453788.6
CLMP	ENSG00000166250.13	ENST00000715744.1
GRAMD1B	ENSG00000023171.20	ENST00000638157.1
SCN3B	ENSG00000166257.10	ENST00000657123.1
ZNF202	ENSG00000166261.11	ENST00000530393.6
OR6X1	ENSG00000221931.3	ENST00000327930.3
OR6M1	ENSG00000196099.5	ENST00000309154.3
TMEM225	ENSG00000204300.7	ENST00000375026.7
OR8D4	ENSG00000181518.4	ENST00000641687.1
OR4D5	ENSG00000171014.3	ENST00000307033.3
OR6T1	ENSG00000181499.3	ENST00000321252.3
OR10S1	ENSG00000196248.6	ENST00000641123.1
OR10G6	ENSG00000198674.3	ENST00000307002.3
OR10G4	ENSG00000254737.3	ENST00000641521.1
OR10G9	ENSG00000236981.1	ENST00000375024.1
OR10G8	ENSG00000234560.5	ENST00000641224.2
OR10G7	ENSG00000182634.9	ENST00000641585.1
VWA5A	ENSG00000110002.16	ENST00000456829.7
OR10D3	ENSG00000197309.5	ENST00000641351.3
OR8G3P	ENSG00000255425.6	ENST00000641572.1
OR8G2P	ENSG00000181214.8	ENST00000412796.2
OR8G1	ENSG00000197849.7	ENST00000641972.1
OR8G5	ENSG00000255298.5	ENST00000641992.2
OR8D1	ENSG00000196341.3	ENST00000641897.1
OR8D2	ENSG00000279116.3	ENST00000624618.2
OR8B2	ENSG00000284680.3	ENST00000641451.2
OR8B3	ENSG00000284609.2	ENST00000641139.1
OR8B4	ENSG00000280090.3	ENST00000356130.7
OR8B8	ENSG00000197125.3	ENST00000642064.1
OR8B12	ENSG00000170953.4	ENST00000306842.3
OR8A1	ENSG00000196119.8	ENST00000641670.1
PANX3	ENSG00000154143.3	ENST00000284288.3
TBRG1	ENSG00000154144.13	ENST00000441174.8
SIAE	ENSG00000110013.13	ENST00000263593.8
SPA17	ENSG00000064199.7	ENST00000532692.1
NRGN	ENSG00000154146.13	ENST00000284292.11
VSIG2	ENSG00000019102.12	ENST00000326621.10
ESAM	ENSG00000149564.12	ENST00000278927.10
MSANTD2	ENSG00000120458.13	ENST00000674284.1
ROBO3	ENSG00000154134.15	ENST00000397801.6
ROBO4	ENSG00000154133.15	ENST00000306534.8
HEPACAM	ENSG00000165478.8	ENST00000298251.5
HEPN1	ENSG00000221932.7	ENST00000408930.7
CCDC15	ENSG00000149548.15	ENST00000529051.5
SLC37A2	ENSG00000134955.12	ENST00000403796.7
TMEM218	ENSG00000150433.10	ENST00000682305.1
PKNOX2	ENSG00000165495.16	ENST00000298282.14
FEZ1	ENSG00000149557.14	ENST00000648911.1
EI24	ENSG00000149547.15	ENST00000278903.11
STT3A	ENSG00000134910.14	ENST00000392708.9
CHEK1	ENSG00000149554.15	ENST00000711049.1
ACRV1	ENSG00000134940.14	ENST00000533904.6
PATE1	ENSG00000171053.10	ENST00000305738.10
PATE2	ENSG00000196844.9	ENST00000358524.8
PATE3	ENSG00000236027.3	ENST00000445202.2
PATE4	ENSG00000237353.7	ENST00000457514.3
HYLS1	ENSG00000198331.11	ENST00000356438.7
PUS3	ENSG00000110060.9	ENST00000613398.4
DDX25	ENSG00000109832.14	ENST00000263576.11
VSIG10L2	ENSG00000283703.3	ENST00000638636.2
CDON	ENSG00000064309.16	ENST00000684078.1
RPUSD4	ENSG00000165526.9	ENST00000298317.9
FAM118B	ENSG00000197798.9	ENST00000627851.2
SRPRA	ENSG00000182934.12	ENST00000332118.11
FOXRED1	ENSG00000110074.12	ENST00000532125.2
TIRAP	ENSG00000150455.15	ENST00000700488.1
DCPS	ENSG00000110063.10	ENST00000263579.5
ST3GAL4	ENSG00000110080.20	ENST00000444328.7
KIRREL3	ENSG00000149571.12	ENST00000525144.7
ETS1	ENSG00000134954.14	ENST00000392668.8
FLI1	ENSG00000151702.18	ENST00000344954.10
KCNJ1	ENSG00000151704.16	ENST00000392665.6
KCNJ5	ENSG00000120457.12	ENST00000529694.6
TP53AIP1	ENSG00000120471.16	ENST00000458238.6
ARHGAP32	ENSG00000134909.19	ENST00000682385.1
BARX2	ENSG00000043039.7	ENST00000281437.6
TMEM45B	ENSG00000151715.8	ENST00000281441.8
NFRKB	ENSG00000170322.15	ENST00000682444.1
PRDM10	ENSG00000170325.16	ENST00000358825.9
APLP2	ENSG00000084234.18	ENST00000650012.1
ST14	ENSG00000149418.11	ENST00000278742.6
ZBTB44	ENSG00000196323.14	ENST00000357899.9
ADAMTS8	ENSG00000134917.10	ENST00000257359.7
ADAMTS15	ENSG00000166106.4	ENST00000299164.4
SNX19	ENSG00000120451.11	ENST00000265909.9
NTM	ENSG00000182667.15	ENST00000374791.7
OPCML	ENSG00000183715.15	ENST00000524381.6
SPATA19	ENSG00000166118.8	ENST00000299140.8
IGSF9B	ENSG00000080854.16	ENST00000533871.8
JAM3	ENSG00000166086.13	ENST00000299106.9
NCAPD3	ENSG00000151503.14	ENST00000534548.7
VPS26B	ENSG00000151502.11	ENST00000281187.10
THYN1	ENSG00000151500.15	ENST00000392594.7
ACAD8	ENSG00000151498.12	ENST00000374752.6
GLB1L3	ENSG00000166105.16	ENST00000431683.7
GLB1L2	ENSG00000149328.16	ENST00000535456.7
B3GAT1	ENSG00000109956.13	ENST00000312527.9
IQSEC3	ENSG00000120645.12	ENST00000538872.6
SLC6A12	ENSG00000111181.13	ENST00000684302.1
SLC6A13	ENSG00000010379.16	ENST00000445055.6
KDM5A	ENSG00000073614.13	ENST00000399788.7
CCDC77	ENSG00000120647.10	ENST00000422000.5
B4GALNT3	ENSG00000139044.12	ENST00000266383.10
NINJ2	ENSG00000171840.13	ENST00000662884.1
WNK1	ENSG00000060237.19	ENST00000315939.11
RAD52	ENSG00000002016.18	ENST00000430095.6
ERC1	ENSG00000082805.21	ENST00000543086.7
FBXL14	ENSG00000171823.7	ENST00000339235.4
WNT5B	ENSG00000111186.13	ENST00000537031.5
ADIPOR2	ENSG00000006831.10	ENST00000357103.5
CACNA2D4	ENSG00000151062.15	ENST00000382722.10
LRTM2	ENSG00000166159.11	ENST00000543818.5
DCP1B	ENSG00000151065.14	ENST00000280665.11
CACNA1C	ENSG00000151067.23	ENST00000682462.1
FKBP4	ENSG00000004478.8	ENST00000001008.6
ITFG2	ENSG00000111203.13	ENST00000228799.7
NRIP2	ENSG00000053702.15	ENST00000337508.9
TEX52	ENSG00000283297.2	ENST00000637658.2
FOXM1	ENSG00000111206.13	ENST00000359843.8
RHNO1	ENSG00000171792.11	ENST00000618250.4
TULP3	ENSG00000078246.17	ENST00000448120.7
TEAD4	ENSG00000197905.10	ENST00000358409.7
TSPAN9	ENSG00000011105.14	ENST00000537971.5
PRMT8	ENSG00000111218.12	ENST00000452611.6
CRACR2A	ENSG00000130038.10	ENST00000440314.7
PARP11	ENSG00000111224.14	ENST00000447133.7
CCND2	ENSG00000118971.9	ENST00000261254.8
ENSG00000285901	ENSG00000285901.2	ENST00000674624.1
TIGAR	ENSG00000078237.7	ENST00000635110.1
FGF23	ENSG00000118972.3	ENST00000237837.2
FGF6	ENSG00000111241.3	ENST00000228837.3
FERRY3	ENSG00000047621.12	ENST00000261250.8
RAD51AP1	ENSG00000111247.15	ENST00000228843.13
DYRK4	ENSG00000010219.14	ENST00000543431.6
ENSG00000272921	ENSG00000272921.1	ENST00000536588.1
AKAP3	ENSG00000111254.8	ENST00000545990.6
ENSG00000255639	ENSG00000255639.3	ENST00000648836.1
NDUFA9	ENSG00000139180.11	ENST00000266544.10
GALNT8	ENSG00000130035.9	ENST00000252318.7
KCNA6	ENSG00000151079.8	ENST00000280684.4
KCNA1	ENSG00000111262.6	ENST00000382545.5
KCNA5	ENSG00000130037.5	ENST00000252321.5
NTF3	ENSG00000185652.12	ENST00000423158.4
ANO2	ENSG00000047617.18	ENST00000356134.9
VWF	ENSG00000110799.14	ENST00000261405.10
CD9	ENSG00000010278.15	ENST00000382518.6
PLEKHG6	ENSG00000008323.16	ENST00000011684.11
TNFRSF1A	ENSG00000067182.9	ENST00000162749.7
SCNN1A	ENSG00000111319.13	ENST00000543768.1
LTBR	ENSG00000111321.11	ENST00000539925.5
CD27	ENSG00000139193.4	ENST00000266557.4
TAPBPL	ENSG00000139192.12	ENST00000266556.8
VAMP1	ENSG00000139190.17	ENST00000361716.8
MRPL51	ENSG00000111639.8	ENST00000537701.5
NCAPD2	ENSG00000010292.13	ENST00000315579.10
GAPDH	ENSG00000111640.15	ENST00000229239.10
IFFO1	ENSG00000010295.20	ENST00000336604.8
NOP2	ENSG00000111641.13	ENST00000541778.5
ENSG00000285238	ENSG00000285238.2	ENST00000644480.2
CHD4	ENSG00000111642.16	ENST00000643335.1
LPAR5	ENSG00000184574.10	ENST00000329858.9
ACRBP	ENSG00000111644.8	ENST00000229243.7
ING4	ENSG00000111653.20	ENST00000341550.9
ZNF384	ENSG00000126746.19	ENST00000319770.7
PIANP	ENSG00000139200.14	ENST00000534837.6
COPS7A	ENSG00000111652.10	ENST00000626119.2
MLF2	ENSG00000089693.11	ENST00000539187.5
PTMS	ENSG00000159335.19	ENST00000710358.1
LAG3	ENSG00000089692.9	ENST00000203629.3
CD4	ENSG00000010610.10	ENST00000011653.9
GPR162	ENSG00000250510.8	ENST00000428545.6
P3H3	ENSG00000110811.20	ENST00000290510.10
GNB3	ENSG00000111664.11	ENST00000229264.8
CDCA3	ENSG00000111665.12	ENST00000422785.7
USP5	ENSG00000111667.14	ENST00000229268.13
TPI1	ENSG00000111669.15	ENST00000229270.8
SPSB2	ENSG00000111671.10	ENST00000524270.6
LRRC23	ENSG00000010626.15	ENST00000433346.5
ENO2	ENSG00000111674.9	ENST00000541477.5
ATN1	ENSG00000111676.15	ENST00000356654.8
C12orf57	ENSG00000111678.11	ENST00000537087.5
PTPN6	ENSG00000111679.17	ENST00000399448.5
PHB2	ENSG00000215021.10	ENST00000440277.6
EMG1	ENSG00000126749.17	ENST00000599672.6
ENSG00000290146	ENSG00000290146.1	ENST00000607161.5
LPCAT3	ENSG00000111684.11	ENST00000261407.9
C1S	ENSG00000182326.17	ENST00000406697.5
C1R	ENSG00000159403.18	ENST00000647956.2
C1RL	ENSG00000139178.12	ENST00000545280.5
RBP5	ENSG00000139194.8	ENST00000266560.8
CLSTN3	ENSG00000139182.15	ENST00000266546.11
PEX5	ENSG00000139197.11	ENST00000455147.6
ACSM4	ENSG00000215009.6	ENST00000399422.5
CD163L1	ENSG00000177675.9	ENST00000313599.8
CD163	ENSG00000177575.13	ENST00000359156.8
APOBEC1	ENSG00000111701.7	ENST00000229304.5
GDF3	ENSG00000184344.4	ENST00000329913.4
DPPA3	ENSG00000187569.3	ENST00000345088.3
CLEC4C	ENSG00000198178.11	ENST00000354629.9
NANOGNB	ENSG00000205857.2	ENST00000382119.1
NANOG	ENSG00000111704.11	ENST00000229307.9
SLC2A14	ENSG00000173262.12	ENST00000539924.5
SLC2A3	ENSG00000059804.18	ENST00000707174.1
FOXJ2	ENSG00000065970.9	ENST00000162391.8
C3AR1	ENSG00000171860.5	ENST00000307637.5
NECAP1	ENSG00000089818.18	ENST00000639955.1
CLEC4A	ENSG00000111729.15	ENST00000229332.12
ENSG00000284393	ENSG00000284393.1	ENST00000402465.8
ZNF705A	ENSG00000196946.11	ENST00000396570.8
FAM90A1	ENSG00000171847.11	ENST00000538603.6
CLEC6A	ENSG00000205846.4	ENST00000382073.4
CLEC4D	ENSG00000166527.8	ENST00000299665.3
CLEC4E	ENSG00000166523.8	ENST00000299663.8
AICDA	ENSG00000111732.12	ENST00000696246.1
MFAP5	ENSG00000197614.11	ENST00000359478.7
RIMKLB	ENSG00000166532.16	ENST00000357529.7
A2ML1	ENSG00000166535.20	ENST00000299698.12
PHC1	ENSG00000111752.11	ENST00000544916.6
M6PR	ENSG00000003056.8	ENST00000536844.5
KLRG1	ENSG00000139187.10	ENST00000356986.8
A2M	ENSG00000175899.15	ENST00000318602.12
PZP	ENSG00000126838.10	ENST00000261336.7
KLRB1	ENSG00000111796.4	ENST00000229402.4
CLEC2D	ENSG00000069493.15	ENST00000290855.11
CD69	ENSG00000110848.8	ENST00000228434.7
KLRF1	ENSG00000150045.12	ENST00000279545.7
CLEC2B	ENSG00000110852.5	ENST00000228438.3
KLRF2	ENSG00000256797.1	ENST00000535540.1
CLEC2A	ENSG00000188393.9	ENST00000339766.8
CLEC12A	ENSG00000172322.14	ENST00000355690.8
CLEC1B	ENSG00000165682.15	ENST00000428126.6
CLEC12B	ENSG00000256660.7	ENST00000338896.11
CLEC9A	ENSG00000197992.7	ENST00000355819.6
CLEC1A	ENSG00000150048.10	ENST00000315330.8
CLEC7A	ENSG00000172243.18	ENST00000353231.9
OLR1	ENSG00000173391.9	ENST00000309539.8
TMEM52B	ENSG00000165685.9	ENST00000381923.6
GABARAPL1	ENSG00000139112.11	ENST00000266458.10
KLRD1	ENSG00000134539.17	ENST00000381908.7
KLRK1	ENSG00000213809.9	ENST00000240618.11
KLRC4-KLRK1	ENSG00000255819.7	ENST00000539300.5
KLRC4	ENSG00000183542.7	ENST00000718241.1
ENSG00000255641	ENSG00000255641.1	ENST00000539033.1
KLRC3	ENSG00000205810.9	ENST00000396439.7
KLRC2	ENSG00000205809.11	ENST00000536833.6
KLRC1	ENSG00000134545.14	ENST00000536188.5
EIF2S3B	ENSG00000180574.4	ENST00000322446.3
MAGOHB	ENSG00000111196.11	ENST00000320756.7
STYK1	ENSG00000060140.9	ENST00000075503.8
YBX3	ENSG00000060138.13	ENST00000228251.9
TAS2R7	ENSG00000121377.2	ENST00000240687.2
TAS2R8	ENSG00000121314.3	ENST00000240615.3
TAS2R9	ENSG00000121381.4	ENST00000240691.4
TAS2R10	ENSG00000121318.3	ENST00000240619.3
PRR4	ENSG00000111215.12	ENST00000228811.8
PRH1	ENSG00000231887.9	ENST00000543626.5
ENSG00000275778	ENSG00000275778.3	ENST00000703543.1
TAS2R13	ENSG00000212128.2	ENST00000390677.2
PRH2	ENSG00000134551.13	ENST00000396400.4
TAS2R14	ENSG00000212127.6	ENST00000537503.2
